"Species","Treatment","Rep","DAT","Hypocotyl_Coleoptile","Radicle"
"Dandelion","NonFert",1,"D14",1.77,21.54
"Dandelion","NonFert",1,"D14",2.41,22.38
"Dandelion","NonFert",1,"D14",1.5,26.19
"Dandelion","NonFert",1,"D14",2.07,16.25
"Dandelion","NonFert",1,"D14",1.67,29.33
"Dandelion","NonFert",1,"D14",1.67,14.08
"Dandelion","NonFert",1,"D14",1.57,15.27
"Dandelion","NonFert",1,"D14",1.46,17.46
"Dandelion","NonFert",1,"D14",2.01,13.71
"Dandelion","NonFert",1,"D14",2.01,15.07
"Dandelion","NonFert",1,"D14",1.57,13.86
"Dandelion","NonFert",1,"D14",2.04,26.57
"Dandelion","NonFert",1,"D14",1.84,16.93
"Dandelion","NonFert",1,"D14",1.84,16.49
"Dandelion","NonFert",1,"D14",1.77,16.49
"Dandelion","NonFert",1,"D14",1.41,11.2
"Dandelion","NonFert",2,"D14",2.12,25.9
"Dandelion","NonFert",2,"D14",1.67,14.03
"Dandelion","NonFert",2,"D14",1.63,25.24
"Dandelion","NonFert",2,"D14",1.74,24.12
"Dandelion","NonFert",2,"D14",1.28,17.09
"Dandelion","NonFert",2,"D14",2.07,26
"Dandelion","NonFert",2,"D14",1.53,25.09
"Dandelion","NonFert",2,"D14",1.44,12.36
"Dandelion","NonFert",2,"D14",1.25,18.75
"Dandelion","NonFert",2,"D14",2.1,15.46
"Dandelion","NonFert",2,"D14",1.4,12.14
"Dandelion","NonFert",2,"D14",1.62,23
"Dandelion","NonFert",2,"D14",1.64,27.68
"Dandelion","NonFert",2,"D14",1.24,17.51
"Dandelion","NonFert",2,"D14",2.01,34.45
"Dandelion","NonFert",2,"D14",1.55,19.29
"Dandelion","NonFert",2,"D14",1.27,16.69
"Dandelion","NonFert",2,"D14",1.29,17.41
"Dandelion","NonFert",3,"D14",1.39,20.54
"Dandelion","NonFert",3,"D14",1.74,23.12
"Dandelion","NonFert",3,"D14",1.13,25.4
"Dandelion","NonFert",3,"D14",1.64,16.48
"Dandelion","NonFert",3,"D14",1.03,28.34
"Dandelion","NonFert",3,"D14",1.68,24.45
"Dandelion","NonFert",3,"D14",1.29,24.28
"Dandelion","NonFert",3,"D14",1.39,32.95
"Dandelion","NonFert",3,"D14",1.34,27.56
"Dandelion","NonFert",3,"D14",1.48,28.94
"Dandelion","NonFert",3,"D14",1.31,23.75
"Dandelion","NonFert",3,"D14",1.48,2.97
"Dandelion","NonFert",3,"D14",1.71,12.43
"Dandelion","NonFert",3,"D14",1.57,24.76
"Dandelion","NonFert",3,"D14",1.61,11.68
"Dandelion","NonFert",3,"D14",2.25,6
"Dandelion","NonFert",4,"D14",1.05,7.38
"Dandelion","NonFert",4,"D14",1.49,17.08
"Dandelion","NonFert",4,"D14",1.47,9.79
"Dandelion","NonFert",4,"D14",1.33,33.44
"Dandelion","NonFert",4,"D14",1.24,15.39
"Dandelion","NonFert",4,"D14",1.32,11.86
"Dandelion","NonFert",4,"D14",1.02,8
"Dandelion","NonFert",4,"D14",1.25,8.87
"Dandelion","NonFert",4,"D14",1.45,27.99
"Dandelion","NonFert",4,"D14",1.7,12
"Dandelion","NonFert",4,"D14",1.74,31.01
"Dandelion","NonFert",4,"D14",1.47,15.25
"Dandelion","NonFert",4,"D14",1.62,10.68
"Dandelion","NonFert",4,"D14",1.07,21.99
"Dandelion","NonFert",4,"D14",1.49,18.27
"Dandelion","NonFert",4,"D14",1.68,15.45
"Dandelion","NonFert",4,"D14",1.61,14.91
"Dandelion","NonFert",4,"D14",1.24,10.22
"Dandelion","Wicked",1,"D14",1.66,21.66
"Dandelion","Wicked",1,"D14",1.55,12.04
"Dandelion","Wicked",1,"D14",1.6,22.3
"Dandelion","Wicked",1,"D14",1.85,10.78
"Dandelion","Wicked",1,"D14",1.19,28.87
"Dandelion","Wicked",1,"D14",1.6,26.5
"Dandelion","Wicked",1,"D14",1.84,6.5
"Dandelion","Wicked",1,"D14",1.41,18.49
"Dandelion","Wicked",1,"D14",1.81,10.54
"Dandelion","Wicked",1,"D14",1.79,17.97
"Dandelion","Wicked",1,"D14",2,7.28
"Dandelion","Wicked",1,"D14",1.53,12.68
"Dandelion","Wicked",1,"D14",1.3,8
"Dandelion","Wicked",1,"D14",1.04,12
"Dandelion","Wicked",1,"D14",2.1,12.31
"Dandelion","Wicked",1,"D14",1.34,7.54
"Dandelion","Wicked",1,"D14",1.31,13.09
"Dandelion","Wicked",1,"D14",1.73,5.53
"Dandelion","Wicked",2,"D14",1.3,28.32
"Dandelion","Wicked",2,"D14",1.6,16.21
"Dandelion","Wicked",2,"D14",1.45,17.26
"Dandelion","Wicked",2,"D14",1.73,23.76
"Dandelion","Wicked",2,"D14",1.35,16.35
"Dandelion","Wicked",2,"D14",1.54,28.15
"Dandelion","Wicked",2,"D14",1.32,19.98
"Dandelion","Wicked",2,"D14",1.07,24.27
"Dandelion","Wicked",2,"D14",1.57,22.56
"Dandelion","Wicked",2,"D14",1.87,16.92
"Dandelion","Wicked",2,"D14",1.38,8.39
"Dandelion","Wicked",2,"D14",1.65,12.97
"Dandelion","Wicked",2,"D14",1.68,8.5
"Dandelion","Wicked",2,"D14",1.28,5.57
"Dandelion","Wicked",3,"D14",1.38,25.67
"Dandelion","Wicked",3,"D14",1.71,28
"Dandelion","Wicked",3,"D14",1.74,32.73
"Dandelion","Wicked",3,"D14",1.5,18.98
"Dandelion","Wicked",3,"D14",1.28,16.14
"Dandelion","Wicked",3,"D14",1.5,24.24
"Dandelion","Wicked",3,"D14",1.76,16.43
"Dandelion","Wicked",3,"D14",1.6,18.1
"Dandelion","Wicked",3,"D14",1.93,16.49
"Dandelion","Wicked",3,"D14",1.34,20.34
"Dandelion","Wicked",3,"D14",1.41,12.4
"Dandelion","Wicked",3,"D14",1.8,25.17
"Dandelion","Wicked",3,"D14",1.65,15.79
"Dandelion","Wicked",3,"D14",1.47,7.67
"Dandelion","Wicked",3,"D14",1.44,24.76
"Dandelion","Wicked",3,"D14",1.68,29.41
"Dandelion","Wicked",3,"D14",1.89,13
"Dandelion","Wicked",4,"D14",1.57,25.43
"Dandelion","Wicked",4,"D14",2.11,16.12
"Dandelion","Wicked",4,"D14",1.83,30.05
"Dandelion","Wicked",4,"D14",2.3,21.15
"Dandelion","Wicked",4,"D14",1.15,14.17
"Dandelion","Wicked",4,"D14",1.67,16.49
"Dandelion","Wicked",4,"D14",1.19,20.51
"Dandelion","Wicked",4,"D14",1.4,7.7
"Dandelion","Wicked",4,"D14",1.19,12.22
"Dandelion","Wicked",4,"D14",1.73,8.75
"Dandelion","Wicked",4,"D14",1.72,16
"Dandelion","Wicked",4,"D14",1.87,28.7
"Dandelion","Wicked",4,"D14",1.49,30
"Dandelion","Wicked",4,"D14",1.66,7.27
"Dandelion","Wicked",4,"D14",1.31,9.8
"Dandelion","Radar",1,"D14",1.75,18.31
"Dandelion","Radar",1,"D14",2.18,23.14
"Dandelion","Radar",1,"D14",1.8,24.15
"Dandelion","Radar",1,"D14",1.55,21.58
"Dandelion","Radar",1,"D14",1.91,32.83
"Dandelion","Radar",1,"D14",2.08,21.52
"Dandelion","Radar",1,"D14",1.19,27.21
"Dandelion","Radar",1,"D14",1.38,27
"Dandelion","Radar",1,"D14",1.86,21.93
"Dandelion","Radar",1,"D14",1.81,10.49
"Dandelion","Radar",1,"D14",1.66,16.16
"Dandelion","Radar",1,"D14",1.43,16.91
"Dandelion","Radar",1,"D14",1.93,10.77
"Dandelion","Radar",1,"D14",1.63,25.84
"Dandelion","Radar",1,"D14",1.73,14.33
"Dandelion","Radar",1,"D14",2.24,17.05
"Dandelion","Radar",2,"D14",1.59,21.07
"Dandelion","Radar",2,"D14",1.34,20.62
"Dandelion","Radar",2,"D14",1.64,9.15
"Dandelion","Radar",2,"D14",1.27,12.6
"Dandelion","Radar",2,"D14",2.1,13.99
"Dandelion","Radar",2,"D14",1.47,10.18
"Dandelion","Radar",3,"D14",1.37,46.76
"Dandelion","Radar",3,"D14",1.69,18.4
"Dandelion","Radar",3,"D14",1.25,26.19
"Dandelion","Radar",3,"D14",1.36,23.83
"Dandelion","Radar",3,"D14",1.52,24.17
