"Species","Treatment","Rep","DAT","GerminationCount","Percentage"
"ABG","Wicked",1,"D7",3,0.1
"ABG","Wicked",2,"D7",1,0.0333333333333333
"ABG","Wicked",3,"D7",3,0.1
"ABG","Wicked",4,"D7",2,0.0666666666666667
"ABG","Seamist",1,"D7",4,0.133333333333333
"ABG","Seamist",2,"D7",4,0.133333333333333
"ABG","Seamist",3,"D7",5,0.166666666666667
"ABG","Seamist",4,"D7",7,0.233333333333333
"ABG","Radar",1,"D7",2,0.0666666666666667
"ABG","Radar",2,"D7",7,0.233333333333333
"ABG","Radar",3,"D7",3,0.1
"ABG","Radar",4,"D7",3,0.1
"ABG","Cardinal",1,"D7",5,0.166666666666667
"ABG","Cardinal",2,"D7",3,0.1
"ABG","Cardinal",3,"D7",7,0.233333333333333
"ABG","Cardinal",4,"D7",5,0.166666666666667
"ABG","Jetty",1,"D7",2,0.0666666666666667
"ABG","Jetty",2,"D7",7,0.233333333333333
"ABG","Jetty",3,"D7",3,0.1
"ABG","Jetty",4,"D7",0,0
"ABG","Nonfertilized",1,"D7",4,0.133333333333333
"ABG","Nonfertilized",2,"D7",4,0.133333333333333
"ABG","Nonfertilized",3,"D7",5,0.166666666666667
"ABG","Nonfertilized",4,"D7",2,0.0666666666666667
"ABG","Fertilized",1,"D7",7,0.233333333333333
"ABG","Fertilized",2,"D7",12,0.4
"ABG","Fertilized",3,"D7",7,0.233333333333333
"ABG","Fertilized",4,"D7",10,0.333333333333333
"ABG","DI water",1,"D7",6,0.2
"ABG","DI water",2,"D7",9,0.3
"ABG","DI water",3,"D7",10,0.333333333333333
"ABG","DI water",4,"D7",9,0.3
"Dandelion","Wicked",1,"D7",18,0.6
"Dandelion","Wicked",2,"D7",16,0.533333333333333
"Dandelion","Wicked",3,"D7",18,0.6
"Dandelion","Wicked",4,"D7",15,0.5
"Dandelion","Seamist",1,"D7",17,0.566666666666667
"Dandelion","Seamist",2,"D7",20,0.666666666666667
"Dandelion","Seamist",3,"D7",14,0.466666666666667
"Dandelion","Seamist",4,"D7",16,0.533333333333333
"Dandelion","Radar",1,"D7",17,0.566666666666667
"Dandelion","Radar",2,"D7",8,0.266666666666667
"Dandelion","Radar",3,"D7",12,0.4
"Dandelion","Radar",4,"D7",16,0.533333333333333
"Dandelion","Cardinal",1,"D7",21,0.7
"Dandelion","Cardinal",2,"D7",18,0.6
"Dandelion","Cardinal",3,"D7",9,0.3
"Dandelion","Cardinal",4,"D7",8,0.266666666666667
"Dandelion","Jetty",1,"D7",18,0.6
"Dandelion","Jetty",2,"D7",18,0.6
"Dandelion","Jetty",3,"D7",21,0.7
"Dandelion","Jetty",4,"D7",22,0.733333333333333
"Dandelion","Nonfertilized",1,"D7",16,0.533333333333333
"Dandelion","Nonfertilized",2,"D7",18,0.6
